sp,page_no_book,eq_no_book,,eq_type,eq_ty_n,level,state,region,eq_typ,eq,eq_transformed,equation,"V = f(D=1,H=10))",a,b,c,d,n,r_squared,remarks,eq_extra,dia_>,dia_<
Lagerstroemia parviflora,106,337,1-337,G,9,multi_district,Madhya Pradesh,Rajnandgaon and Durg districts,G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(0.396093+0.015448*(D^2)*H+0.001512/((D^2)*H))*((D^2)*H) ,5.507,0.396093,0.015448,0.001512,,18,0.22898,,,,
Lagerstroemia parviflora,106,337,1-337,L,9,multi_district,Madhya Pradesh,Rajnandgaon and Durg districts,L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(-0.22056-0.02984/(D^2)+0.47398/D+14.75467*D)*(D^2) ,14.978,-0.22056,-0.02984,0.47398,14.75467,445,0.7102,,,,
Lagerstroemia parviflora,106,338,1-338,G,6,multi_district,Madhya Pradesh,"Balaghat, Seoni and Mandla districts. The general volume equation was also used for Raigarh district.",G6,V=a+b*D+c*D^2+d*(D^2)*H,a+b*D+c*D^2+d*(D^2)*H,0.01636+4.605476*D^2+0.21389*(D^2)*H ,6.761,0.01636,0,4.605476,0.21389,114,,,,,
Lagerstroemia parviflora,106,338,1-338,L,2,multi_district,Madhya Pradesh,"Balaghat, Seoni and Mandla districts. The general volume equation was also used for Raigarh district.",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.01617-0.66446*D+9.71038*D^2 ,9.062,0.01617,-0.66446,9.71038,,262,0.99531,,,,
Lagerstroemia parviflora,106,339,1-339,L,2,district,Madhya Pradesh,Bilaspur district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.06913-1.37605*D+11.89119*D^2 ,10.584,0.06913,-1.37605,11.89119,,113,0.98935,,,,
Lagerstroemia parviflora,106,340,1-340,L,2,district,Madhya Pradesh,Raipur district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.0568-1.19611*D+9.11319*D^2 ,7.974,0.0568,-1.19611,9.11319,,124,0.95318,,,,
Lagerstroemia parviflora,106,341,1-341,G,7,catchment,Maharashtra,Ballarshah catchment Chandrapur,G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(-1.699443+1.912497*log(D)+1.15776*log(H)) ,0.582,-1.699443,1.912497,1.15776,,44,0.936,,,,
Lagerstroemia parviflora,106,341,1-341,L,8,catchment,Maharashtra,Ballarshah catchment Chandrapur,L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(9.629971-1.371984/D+0.06466*1/(D^2))*(D^2) ,8.323,9.629971,-1.371984,0.06466,,127,0.7061,,,,
Lagerstroemia parviflora,106,342,1-342,G,8,multi_catchment,Maharashtra,Sondad catchment- Bhandara district. The general volume equation was also used for Wadsa catchment (Chandrapur),G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.35949-0.00088*(D^2)*H)*((D^2)*H) ,3.507,0.35949,-0.00088,,,26,0.0033,,,,
Lagerstroemia parviflora,106,342,1-342,L,2,catchment,Maharashtra,Sondad catchment- Bhandara district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.044315-1.013939*D+8.510299*D^2 ,7.541,0.044315,-1.013939,8.510299,,83,0.9891,,,,
Lagerstroemia parviflora,106,343,1-343,L,5,catchment,Maharashtra,Wadsa catchment (Chandrapur),L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.13034+2.824203*D)^2 ,7.257,-0.13034,2.824203,,,39,0.9666,,,,
Lagerstroemia parviflora,106,344,1-344,G,1,forest_division,Maharashtra,Melghat Forest Division,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,3.929,-0.002101,0.393065,,,102,0.136,,,,
Lagerstroemia parviflora,106,344,1-344,L,2,forest_division,Maharashtra,Melghat Forest Division,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.030595-1.025799*D+10.41355*D^2 ,9.418,0.030595,-1.025799,10.41355,,102,0.7602,,,,
Lagerstroemia parviflora,107,345,1-345,G,1,catchment,Orissa,"Phulbani catchment (Phulbani, Ganjam and Kalahandi districts). The general volume equation was used for Tarai Region of Uttar Pradesh",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,3.846,-0.010442,0.385687,,,,,,,,
Lagerstroemia parviflora,107,345,1-345,L,5,catchment,Orissa,"Phulbani catchment (Phulbani, Ganjam and Kalahandi districts). The general volume equation was used for Tarai Region of Uttar Pradesh",L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.153687+2.975938*D)^2 ,7.965,-0.153687,2.975938,,,185,,,,,
Lagerstroemia parviflora,107,346,1-346,G,4,district,Orissa,Koraput district.,G4,V=a+b*D+c*(D^2)*H+d*((D^2)*H)^2,a+b*D+c*(D^2)*H+d*((D^2)*H)^2,0.009491+0.352882*(D^2)*H+0.015283*((D^2)*H)^2 ,5.067,0.009491,0,0.352882,0.015283,45,0.9968,,,,
Lagerstroemia parviflora,107,346,1-346,L,8,district,Orissa,Koraput district.,L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(9.28416-1.25923/D+0.07199/(D^2))*(D^2) ,8.097,9.28416,-1.25923,0.07199,,,,,,,
Lagerstroemia parviflora,107,347,1-347,L,5,state,Tripura,Tripura Survey,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.19901+0.0289643*D)^2,0.029,-0.19901,0.0289643,,,,,coverted D coefficient from cm to m,,,
Lagerstroemia parviflora,107,348,1-348,L,9,multi_district,Uttar Pradesh,"Tarai Region-Saharanpur, Bijnore, Moradabad, Rampur, Bareilly, Pilibhit, Kheri, Bahraich, Gonda districts.",L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(-8.60085-0.1659/(D^2)+2.42518/D+28.48599*D)*(D^2) ,22.144,-8.60085,-0.1649,2.42518,28.48599,51,0.67148,,,,
Lagerstroemia parviflora,107,349,1-349,G,9,multi_district,Uttar Pradesh,"Southern region- Agra, Etawah, Jalaun, Jhansi, Lalitpur, Hamirpur, Banda and Allahabad districts. The general volume equation was also used for Shorea robusta of this area and for rest of the species in Balaghat, Seoni and Mandla districts of Madhya Pradesh.",G9,V/((D^2)*H)=a+b*(D^2)*H+c/((D^2)*H),(a+b*(D^2)*H+c/((D^2)*H))*((D^2)*H),(0.489814-0.00552*(D^2)*H+0.002565/((D^2)*H))*((D^2)*H) ,4.349,0.489814,-0.00552,0.002565,,147,,,,,
Lagerstroemia parviflora,107,349,1-349,L,2,multi_district,Uttar Pradesh,"Southern region- Agra, Etawah, Jalaun, Jhansi, Lalitpur, Hamirpur, Banda and Allahabad districts. The general volume equation was also used for Shorea robusta of this area and for rest of the species in Balaghat, Seoni and Mandla districts of Madhya Pradesh.",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.10529-1.68829*D+10.29573*D^2 ,8.713,0.10529,-1.68829,10.29573,,90,0.98428,,,,
Lagerstroemia parviflora,107,350,1-350,G,1,multi_state,FAO Project Area,"Madhya Pradesh, Andhra Pradesh and Orissa",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.009+0.270*(D^2)*H ,2.709,0.009,0.27,,,,,,,,
Lagerstroemia parviflora,107,350,1-350,L,2,multi_state,FAO Project Area,"Madhya Pradesh, Andhra Pradesh and Orissa",L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.023-0.546*D+6.274*D^2 ,5.751,0.023,-0.546,6.274,,,,,,,
Lagerstroemia species,108,351,1-351,L,2,multi_district,Assam,Assam survey (15 districts),L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.11740-1.58941*D+9.76464*D^2 ,8.293,0.1174,-1.58941,9.76464,,223,0.9697,,,,
Lannea coromandelica,108,352,1-352,L,1,forest_division,Andhra Pradesh,Mehboobnagar Forest division,L1,V=a+b*D^2,a+b*D^2,#NAME?,3.048,-0.021403,3.069449,,,126,0.94,,,,
Lannea coromandelica,108,353,1-353,G,1,district,Andhra Pradesh,Adilabad district,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.00370+0.34594*(D^2)*H,3.463,0.0037,0.34594,,,,,,,,
Lannea coromandelica,108,353,1-353,L,2,district,Andhra Pradesh,Adilabad district,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.091153-1.66153*D+10.24624*D^2,8.676,0.091153,-1.66153,10.24624,,140,0.9199,,,,
Lannea coromandelica,108,354,1-354,L,6,multi_district,Assam,Assam survey (15 districts),L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(-0.32985+2.21152*D+0.78769 *sqrt(D))^2 ,7.125,-0.32985,2.21152,0.78769,,67,0.97814,,,,
Lannea coromandelica,108,355,1-355,G,2,multi_district,Bihar,"South West Bihar, Chapra, Kodarma, Giridih, Munger, Shahbad, Gaya, Daltonganj, Garwa, Lahetar, Hazaribagh, Ranchi Forest division.",G2,V=a+b*D+c*(D^2)*H,a+b*D+c*(D^2)*H,0.021968-0.393047*D+0.598833*(D^2)*H ,5.617,0.021968,-0.393047,0.598833,,,,,,,
Lannea coromandelica,109,356,1-356,G,7,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Dadra and Nagar Haveli and Dhulia district of Maharashtra and Khargone, Khandwa, Dewas, Jhabua, Indore and Dhar districts of M.P..",G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(-0.005687+2.394468*log(D)+0.791548*log(H)) ,2.194,-0.005687,2.394468,0.791548,,76,0.9928,,,,
Lannea coromandelica,109,356,1-356,L,6,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Dadra and Nagar Haveli and Dhulia district of Maharashtra and Khargone, Khandwa, Dewas, Jhabua, Indore and Dhar districts of M.P..",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.404153+5.555051*D-2.545525*sqrt(D))^2 ,11.653,0.404153,5.555051,-2.545525,,174,0.98502,,,,
Lannea coromandelica,109,357,1-357,G,1,multi_state,Himachal Pradesh,"Chir belt area-Bilaspur, Hamirpur, Kangra, Mandi Solan and Una districts. The general volume equation was also used for Jammu region, Shiwalik region of Haryana and Punjab-Ambala, Ropar, Hoshiarpur and Gurdaspur districts, Udaipur Forest division and Southern and Eastern parts of Rajasthan.",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,#NAME?,3.767,-0.004511,0.377131,,,87,0.9665,,,,
Lannea coromandelica,109,357,1-357,L,9,multi_state,Himachal Pradesh,"Chir belt area-Bilaspur, Hamirpur, Kangra, Mandi Solan and Una districts. The general volume equation was also used for Jammu region, Shiwalik region of Haryana and Punjab-Ambala, Ropar, Hoshiarpur and Gurdaspur districts, Udaipur Forest division and Southern and Eastern parts of Rajasthan.",L9,V/(D^2)=a+b/(D^2)+c/D+d*D,(a+b/(D^2)+c/D+d*D)*(D^2),(1.336264-0.017639/(D^2)+0.132337/D+9.315146*D)*(D^2) ,10.766,1.336264,-0.017639,0.132337,9.315146,44,,,,,
Lannea coromandelica,109,358,1-358,L,5,multi_district,Jammu and Kashmir,Jammu region,L5,sqrt(V)=a+b*D,(a+b*D)^2,(-0.13498+2.57874*D)^2 ,5.972,-0.13498,2.57874,,,34,0.96425,,,,
Lannea coromandelica,109,359,1-359,G,1,catchment,Madhya Pradesh,Narayanpur catchment. Bastar district.,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,,,,,,,,,,,,
Lannea coromandelica,109,359,1-359,L,2,catchment,Madhya Pradesh,Narayanpur catchment. Bastar district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,,,,,,,,,,,,
Lannea coromandelica,110,360,1-360,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,110,361,1-361,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,110,362,1-362,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,110,363,1-363,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,110,364,1-364,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,110,365,1-365,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,110,366,1-366,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,111,367,1-367,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,111,368,1-368,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,111,369,1-369,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,111,370,1-370,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,111,371,1-371,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,111,372,1-372,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,111,373,1-373,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,112,374,1-374,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,112,375,1-375,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,112,376,1-376,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,112,377,1-377,,,,,,,,,,,,,,,,,,,,
Larix griffithii,112,378,1-378,G,7,country,Bhutan,North Western parts. The geneal volume equation was also used for Tsuga dumosa in Western parts of Sikkim and for Tsuga brunoniana in North Western and Southern parts of Bhutan.,G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(-1.409685+ 1.846742*log(D)+1.045675*log(H)) ,0.695,-1.409685,1.846742,1.045675,,122,,,,,
Larix griffithii,112,378,1-378,L,2,country,Bhutan,North Western parts. The geneal volume equation was also used for Tsuga dumosa in Western parts of Sikkim and for Tsuga brunoniana in North Western and Southern parts of Bhutan.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,0.055312-1.37978*D+11.394329*D^2 ,10.07,0.055312,-1.37978,11.394329,,,,,,,
Lyonia (Pieris) ovalifolia,113,379,1-379,,,,,,,,,,,,,,,,,,,,
Lyonia (Pieris) ovalifolia,113,380,1-380,,,,,,,,,,,,,,,,,,,,
Macaranga denticulata,114,381,1-381,,,,,,,,,,,,,,,,,,,,
Macaranga denticulata,114,382,1-382,,,,,,,,,,,,,,,,,,,,
Machilus gammicana,115,383,1-383,,,,,,,,,,,,,,,,,,,,
Machilus gammicana,115,384,1-384,,,,,,,,,,,,,,,,,,,,
Machilus odoratissima,115,385,1-385,,,,,,,,,,,,,,,,,,,,
Machilus odoratissima,115,386,1-386,,,,,,,,,,,,,,,,,,,,
Machilus species,116,387,1-387,,,,,,,,,,,,,,,,,,,,
Machilus species,116,388,1-388,,,,,,,,,,,,,,,,,,,,
Machilus species,116,389,1-389,,,,,,,,,,,,,,,,,,,,
Machilus species,116,390,1-390,,,,,,,,,,,,,,,,,,,,
Machilus species,116,391,1-391,,,,,,,,,,,,,,,,,,,,
Madhuca latifolia,117,392,1-392,,,,,,,,,,,,,,,,,,,,
Madhuca latifolia,117,393,1-393,,,,,,,,,,,,,,,,,,,,
Madhuca latifolia,117,394,1-394,,,,,,,,,,,,,,,,,,,,
Madhuca latifolia,117,395,1-395,,,,,,,,,,,,,,,,,,,,
Madhuca latifolia,117,396,1-396,,,,,,,,,,,,,,,,,,,,
Madhuca latifolia,118,397,1-397,,,,,,,,,,,,,,,,,,,,
Madhuca latifolia,118,398,1-398,,,,,,,,,,,,,,,,,,,,
Madhuca latifolia,118,399,1-399,,,,,,,,,,,,,,,,,,,,
Madhuca latifolia,118,400,1-400,,,,,,,,,,,,,,,,,,,,
Mallotus philippinensis,119,401,1-401,,,,,,,,,,,,,,,,,,,,
Mansonia dipikae,119,402,1-402,,,,,,,,,,,,,,,,,,,,
Mansonia dipikae,119,403,1-403,,,,,,,,,,,,,,,,,,,,
Manilkara littoralis,120,404,1-404,,,,,,,,,,,,,,,,,,,,
Melia azadirachta,120,405,1-405,,,,,,,,,,,,,,,,,,,,
Mesua ferrea,121,406,1-406,,,,,,,,,,,,,,,,,,,,
Mesua ferrea,121,407,1-407,,,,,,,,,,,,,,,,,,,,
Mesua ferrea,121,408,1-408,,,,,,,,,,,,,,,,,,,,
Mesua ferrea,121,409,1-409,,,,,,,,,,,,,,,,,,,,
Michelia champaca,122,410,1-410,,,,,,,,,,,,,,,,,,,,
Michelia champaca,122,411,1-411,,,,,,,,,,,,,,,,,,,,
Michelia excelsa,123,412,1-412,,,,,,,,,,,,,,,,,,,,
Michelia excelsa,123,413,1-413,,,,,,,,,,,,,,,,,,,,
Michelia excelsa,124,414,1-414,,,,,,,,,,,,,,,,,,,,
Michelia species,124,415,1-415,,,,,,,,,,,,,,,,,,,,
Michelia species,124,416,1-416,,,,,,,,,,,,,,,,,,,,
Michelia species,124,417,1-417,,,,,,,,,,,,,,,,,,,,
Michelia species,124,418,1-418,,,,,,,,,,,,,,,,,,,,
Miliusa species,124,419,1-419,,,,,,,,,,,,,,,,,,,,
Mitragyna parviflora,125,420,1-420,,,,,,,,,,,,,,,,,,,,
Mitragyna parviflora,126,421,1-421,,,,,,,,,,,,,,,,,,,,
Mitragyna parviflora,126,422,1-422,,,,,,,,,,,,,,,,,,,,
Mitragyna parviflora,126,423,1-423,,,,,,,,,,,,,,,,,,,,
Mitragyna parviflora,126,424,1-424,,,,,,,,,,,,,,,,,,,,
Mitragyna parviflora,126,425,1-425,,,,,,,,,,,,,,,,,,,,
Mitragyna parviflora,126,426,1-426,,,,,,,,,,,,,,,,,,,,
Monsonia species,127,427,1-427,,,,,,,,,,,,,,,,,,,,
Myristica malabarica,127,428,1-428,,,,,,,,,,,,,,,,,,,,
Olea dioica,128,429,1-429,,,,,,,,,,,,,,,,,,,,
Ougeinia dalbergioides,128,430,1-430,,,,,,,,,,,,,,,,,,,,
Ougeinia dalbergioides,129,431,1-431,,,,,,,,,,,,,,,,,,,,
Ougeinia dalbergioides,129,432,1-432,,,,,,,,,,,,,,,,,,,,
Ougeinia dalbergioides,129,433,1-433,,,,,,,,,,,,,,,,,,,,
Ougeinia dalbergioides,129,434,1-434,,,,,,,,,,,,,,,,,,,,
Ougeinia dalbergioides,129,435,1-435,,,,,,,,,,,,,,,,,,,,
Ougeinia dalbergioides,129,436,1-436,,,,,,,,,,,,,,,,,,,,
Ougeinia dalbergioides,129,437,1-437,,,,,,,,,,,,,,,,,,,,
Ougeinia dalbergioides,130,438,1-438,,,,,,,,,,,,,,,,,,,,
Pajanelia longifolia,130,439,1-439,,,,,,,,,,,,,,,,,,,,
Pajanelia longifolia,130,440,1-440,,,,,,,,,,,,,,,,,,,,
Phoebe cooperiana,131,441,1-441,,,,,,,,,,,,,,,,,,,,
Phoebe goalparensis,131,442,1-442,,,,,,,,,,,,,,,,,,,,
Phoebe goalparensis,131,443,1-443,,,,,,,,,,,,,,,,,,,,
Phoebe species,132,444,1-444,,,,,,,,,,,,,,,,,,,,
Phoebe species,132,445,1-445,,,,,,,,,,,,,,,,,,,,
Picea smithiana,132,446,1-446,,,,,,,,,,,,,,,,,,,,
Picea smithiana,133,447,1-447,,,,,,,,,,,,,,,,,,,,
Picea smithiana,133,448,1-448,,,,,,,,,,,,,,,,,,,,
Picea smithiana,133,449,1-449,,,,,,,,,,,,,,,,,,,,
Picea smithiana,133,450,1-450,,,,,,,,,,,,,,,,,,,,
Picea spinulosa,134,451,1-451,,,,,,,,,,,,,,,,,,,,
Picea spinulosa,134,452,1-452,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,135,453,1-453,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,135,454,1-454,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,135,455,1-455,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,135,456,1-456,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,135,457,1-457,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,135,458,1-458,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,135,459,1-459,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,135,460,1-460,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,136,461,1-461,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,136,462,1-462,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,136,463,1-463,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,136,464,1-464,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,136,465,1-465,,,,,,,,,,,,,,,,,,,,
Pinus wallichiana,136,466,1-466,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,137,467,1-467,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,137,468,1-468,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,137,469,1-469,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,137,470,1-470,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,137,471,1-471,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,137,472,1-472,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,138,473,1-473,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,138,474,1-474,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,138,475,1-475,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,138,476,1-476,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,139,477,1-477,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,139,478,1-478,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,139,479,1-479,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,139,480,1-480,,,,,,,,,,,,,,,,,,,,
Pinus khasiya,140,481,1-481,,,,,,,,,,,,,,,,,,,,
Pinus khasiya,140,482,1-482,,,,,,,,,,,,,,,,,,,,
Pinus khasiya,140,483,1-483,,,,,,,,,,,,,,,,,,,,
Planchonia andamanica,140,484,1-484,,,,,,,,,,,,,,,,,,,,
Premna species,141,485,1-485,,,,,,,,,,,,,,,,,,,,
Pterocarpus dalbergioides,141,486,1-486,,,,,,,,,,,,,,,,,,,,
Pterocarpus marsupium,142,487,1-487,L,12,district,Andhra Pradesh,Adilabad district,L12,V/D=a+b/D+c*D+d*(D^2),(a+b/D+c*D+d*(D^2))*D,(-0.145889-0.018208/D+5.03522*D+5.91151*(D^2))*D ,10.783,-0.145889,-0.018208,5.03522,5.91151,91,0.9353,,,,
Pterocarpus marsupium,142,488,1-488,G,1,forest_division,Andhra Pradesh,Mehboobnagar Forest division,G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.013437+0.217379*(D^2)*H ,2.187,0.013437,0.217379,,,,,,,,
Pterocarpus marsupium,142,489,1-489,L,3,district,Andhra Pradesh,East Godavari,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.477930-5.9792*D+24.5798*D^2-16.7699*D^3 ,2.309,0.47793,-5.9792,24.5798,-16.7699,47,0.933156,,,,
Pterocarpus marsupium,143,490,1-490,G,7,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Dadra and Nagar Haveli, Chitradurg, Tumkur, Kolar, Bangalore and Bellary districts of Karnataka, Khargone, Khandwa, Dewas, Indore, Dhar, districts of M.P. and for Mewasi Forest division, Dhulia, Nashik, Thane and Raigarh districts of Maharashtra.",G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(0.097741+2.293041*log(D)+0.710614*log(H)) ,2.244,0.097741,2.293041,0.710614,,73,0.9434,,,,
Pterocarpus marsupium,143,490,1-490,L,6,multi_district,Gujarat,"Surat circle-Dangs, Surat, Valsad and Bharuch districts. The local volume equation was also used for Dadra and Nagar Haveli, Chitradurg, Tumkur, Kolar, Bangalore and Bellary districts of Karnataka, Khargone, Khandwa, Dewas, Indore, Dhar, districts of M.P. and for Mewasi Forest division, Dhulia, Nashik, Thane and Raigarh districts of Maharashtra.",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.175068+4.598243*D-1.500562*sqrt(D))^2 ,10.711,0.175068,4.598243,-1.500562,,102,,,,,
Pterocarpus marsupium,143,491,1-491,G,8,catchment,Madhya Pradesh,Narayanpur catchment. Bastar district.,G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.36188+0.00163*(D^2)*H)*((D^2)*H) ,3.782,0.36188,0.00163,,,34,,,,,
Pterocarpus marsupium,143,491,1-491,L,2,catchment,Madhya Pradesh,Narayanpur catchment. Bastar district.,L2,V=a+b*D+c*D^2,a+b*D+c*D^2,#NAME?,7.245,-0.00116,-0.56934,7.8153,,238,0.97636,,,,
Pterocarpus marsupium,143,492,1-492,G,7,multi_district,Madhya Pradesh,Rajnandgaon and Durg districts. The general volume equation was also used for Raipur district.,G7,log(V)=a+b*log(D)+c*log(H),exp(a+b*log(D)+c*log(H)),exp(-2.194977+1.932216*log(D)+1.430576*log(H)) ,0.466,-2.194977,1.932216,1.430576,,27,0.996469,,,,
Pterocarpus marsupium,143,492,1-492,L,8,multi_district,Madhya Pradesh,Rajnandgaon and Durg districts. The general volume equation was also used for Raipur district.,L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(11.33719-1.64857/D+0.07747*1/(D^2))*(D^2) ,9.766,11.33719,-1.64857,0.07747,,531,0.67744,,,,
Pterocarpus marsupium,143,493,1-493,L,7,district,Madhya Pradesh,Raigarh district. The general volume equation was also used for Bilaspur district.,L7,V/(D^2)=a+b/(D^2),(a+b/(D^2))*(D^2),(8.06901-0.04659*1/(D^2))*(D^2) ,8.022,8.06901,-0.04659,,,65,0.54428,,,,
Pterocarpus marsupium,143,494,1-494,L,3,district,Madhya Pradesh,Bilaspur district.,L3,V=a+b*D+c*D^2+d*D^3,a+b*D+c*D^2+d*D^3,0.06801+0.14032*D+1.43895*D^2+18.34982*D^3 ,19.997,0.06801,0.14032,1.43895,18.34982,129,0.98519,,,,
Pterocarpus marsupium,143,495,1-495,L,8,district,Madhya Pradesh,Raipur district.,L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(9.39716-1.14471/D+0.04482*1/(D^2))*(D^2) ,8.297,9.39716,-1.14471,0.04482,,156,0.70711,,,,
Pterocarpus marsupium,144,496,1-496,G,1,multi_district,Madhya Pradesh,"Balaghat, Mandla and Seoni. The general volume equation was also used for Raigarh and Bilaspur districts.",G1,V=a+b*(D^2)*H,a+b*(D^2)*H,0.07055+0.471211*(D^2)*H ,4.783,0.07055,0.471211,,,131,,,,,
Pterocarpus marsupium,144,496,1-496,L,6,multi_district,Madhya Pradesh,"Balaghat, Mandla and Seoni. The general volume equation was also used for Raigarh and Bilaspur districts.",L6,sqrt(V)=a+b*D+c*sqrt(D),(a+b*D+c*sqrt(D))^2,(0.47558+5.17895*D-2.10308*sqrt(D))^2 ,12.613,0.47558,5.17895,-2.10308,,184,0.9676,,,,
Pterocarpus marsupium,144,497,1-497,G,8,catchment,Maharashtra,Ballarshah catchment Chandrapur,G8,V/((D^2)*H)=a+b*(D^2)*H,(a+b*(D^2)*H)*((D^2)*H),(0.341324-0.006412*(D^2)*H)*((D^2)*H) ,2.772,0.341324,-0.006412,,,39,0.116,,,,
Pterocarpus marsupium,144,497,1-497,L,8,catchment,Maharashtra,Ballarshah catchment Chandrapur,L8,V/(D^2)=a+b/D+c/(D^2),(a+b/D+c/(D^2))*(D^2),(8.033788-0.83364/D+0.028252*1/(D^2))*(D^2) ,7.228,8.033788,-0.83364,0.028252,,116,0.7651,,,,
